 ,Proxy 4145,TCP,Proxy 5678,TCP
month,ASN,IP,ASN,IP
2019-03,764,4048,0,0
2019-04,684,4873,0,0
2019-05,584,3869,0,0
2019-06,515,3281,0,0
2019-07,427,2484,0,0
2019-08,432,2656,0,0
2019-09,379,1968,0,0
2019-10,323,1894,0,0
2019-11,321,1563,0,0
2019-12,317,1515,0,0
2020-01,282,1431,0,0
2020-02,275,1132,0,0
2020-03,272,1106,0,0
2020-04,249,1107,0,0
2020-05,245,1135,0,0
2020-06,238,1052,0,0
2020-07,231,947,0,0
2020-08,211,889,0,0
2020-09,189,728,0,0
2020-10,173,671,0,0
2020-11,164,662,0,0
2020-12,154,622,0,0
2021-01,151,536,0,0
2021-02,147,553,0,0
2021-03,136,467,0,0
2021-04,128,438,0,0
2021-05,119,456,0,0
2021-06,112,468,0,0
2021-07,104,423,0,0
2021-08,99,428,0,0
2021-09,106,391,0,0
2021-10,91,327,303,859
2021-11,98,296,232,748
2021-12,89,257,198,407
2022-01,87,237,168,432
2022-02,89,246,150,409
2022-03,90,246,137,323
2022-04,83,182,105,271
2022-05,81,182,101,202
2022-06,78,135,70,129
2022-07,70,132,86,155
2022-08,68,109,77,128
2022-09,61,111,71,120
2022-10,53,96,68,103
2022-11,60,122,77,138
2022-12,56,91,73,117
2023-01,54,104,66,103
2023-02,55,99,69,105
2023-03,52,129,67,114
2023-04,47,108,66,107
2023-05,48,101,62,94
2023-06,52,111,61,113
2023-07,52,115,52,89
2023-08,43,337,54,104
2023-09,44,88,56,78
2023-10,42,273,52,86
2023-11,34,121,56,125
2023-12,35,125,60,91
