month,dns_asns,dns_ips,snmp_asns,snmp_ips,ntp_asns,ntp_ips,ssdp_asns,ssdp_ips,chargen_asns,chargen_ips,ldap_asns,ldap_ips,mdns_asns,mdns_ips,memcached_asns,memcached_ips,netbios_asns,netbios_ips,portmap_asns,portmap_ips,qotd_asns,qotd_ips,ubnt_asns,ubnt_ips,ws-discovery_asns,ws-discovery_ips,tftp_asns,tftp_ips,coap_asns,coap_ips,arms_asns,arms_ips,dvr-dhcpdiscover_asns,dvr-dhcpdiscover_ips,slp_asns,slp_ips
2017-01,2133,87953,0,0,981,97423,0,0,54,289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-02,2066,67159,1681,573373,0,0,805,37459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-03,0,0,1805,604805,915,104665,0,0,42,206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-04,2191,72124,0,0,861,92120,812,27233,63,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-05,2280,69957,1869,573400,0,0,839,40814,51,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-06,2183,64179,1948,596348,860,91257,812,33805,50,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-07,0,0,1963,551953,841,107097,191,3094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-08,2347,72677,2018,554457,872,108168,891,27209,60,283,0,0,0,0,0,0,0,0,0,0,87,273,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-09,2307,62283,1791,406015,800,89603,0,0,61,267,0,0,0,0,0,0,0,0,0,0,89,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-10,2328,67066,1886,343674,845,108605,902,32056,57,211,0,0,0,0,0,0,0,0,0,0,56,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-11,2279,61281,0,0,821,100801,863,26999,67,296,0,0,0,0,0,0,0,0,0,0,86,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2017-12,2436,62758,2001,460519,0,0,845,27828,70,256,0,0,0,0,0,0,0,0,0,0,87,281,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-01,2412,61875,2130,479247,823,97075,888,25982,50,160,0,0,0,0,0,0,0,0,0,0,10,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-02,2438,72185,2324,559784,849,93801,778,20210,64,284,0,0,0,0,0,0,0,0,0,0,76,244,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-03,2476,63811,2278,515345,844,84483,544,11431,65,346,436,2458,1148,6009,182,360,1470,10627,2336,29806,74,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-04,2509,66371,2280,436702,850,85549,794,21686,70,344,414,2168,1079,5700,71,218,1487,11892,2101,23385,63,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-05,2343,65270,2390,502861,870,88788,846,23174,71,334,418,2370,1111,6530,80,102,1471,11960,2014,21473,68,272,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-06,2629,70188,2284,447411,805,87408,817,23340,71,300,386,2092,1135,6148,34,46,1486,15140,1968,20926,59,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-07,2721,68415,2436,431907,881,89484,787,17255,66,283,346,1927,1099,6206,25,32,1332,10804,1913,20461,56,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-08,2459,56555,2411,397622,895,89353,613,11855,47,180,332,1462,971,4802,27,39,1354,17938,1877,19891,54,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2018-09,2767,62942,2366,193432,772,87378,836,21836,65,286,326,1810,1042,6015,20,25,1336,12839,1824,20151,60,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0
