date:,"br_ips,","not_br_ips,",total_ips

2015-01-01,0,17,17
2015-01-02,0,17,17
2015-01-03,0,18,18
2015-01-04,0,17,17
2015-01-05,0,23,23
2015-01-06,4,24,28
2015-01-07,2,26,28
2015-01-08,3,28,31
2015-01-09,0,28,28
2015-01-10,0,19,19
2015-01-11,0,19,19
2015-01-12,2,26,28
2015-01-13,2,30,32
2015-01-14,0,29,29
2015-01-15,0,27,27
2015-01-16,0,28,28
2015-01-17,0,26,26
2015-01-18,0,25,25
2015-01-19,2,32,34
2015-01-20,3,28,31
2015-01-21,1,32,33
2015-01-22,2,35,37
2015-01-23,0,33,33
2015-01-24,0,29,29
2015-01-25,0,24,24
2015-01-26,0,30,30
2015-01-27,0,30,30
2015-01-28,0,29,29
2015-01-29,2,32,34
2015-01-30,1,40,41
2015-01-31,0,34,34
2015-02-01,0,28,28
2015-02-02,0,41,41
2015-02-03,1,41,42
2015-02-04,0,42,42
2015-02-05,0,41,41
2015-02-06,2,47,49
2015-02-07,0,32,32
2015-02-08,0,32,32
2015-02-09,0,41,41
2015-02-10,1,43,44
2015-02-11,0,51,51
2015-02-12,1,42,43
2015-02-13,0,30,30
2015-02-14,1,28,29
2015-02-15,1,21,22
2015-02-16,1,21,22
2015-02-17,0,20,20
2015-02-18,0,24,24
2015-02-19,1,39,40
2015-02-20,0,33,33
2015-02-21,0,34,34
2015-02-22,0,36,36
2015-02-23,0,45,45
2015-02-24,0,37,37
2015-02-25,0,39,39
2015-02-26,0,43,43
2015-02-27,0,45,45
2015-02-28,0,39,39
2015-03-01,0,38,38
2015-03-02,0,47,47
2015-03-03,0,47,47
2015-03-04,0,46,46
2015-03-05,1,45,46
2015-03-06,1,37,38
2015-03-07,0,35,35
2015-03-08,0,35,35
2015-03-09,0,43,43
2015-03-10,0,43,43
2015-03-11,0,43,43
2015-03-12,0,45,45
2015-03-13,0,38,38
2015-03-14,0,33,33
2015-03-15,0,31,31
2015-03-16,1,49,50
2015-03-17,0,48,48
2015-03-18,0,47,47
2015-03-19,0,46,46
2015-03-20,0,40,40
2015-03-21,0,38,38
2015-03-22,0,33,33
2015-03-23,0,41,41
2015-03-24,1,45,46
2015-03-25,1,55,56
2015-03-26,1,61,62
2015-03-27,0,51,51
2015-03-28,0,50,50
2015-03-29,0,43,43
2015-03-30,0,52,52
2015-03-31,0,59,59
2015-04-01,0,56,56
2015-04-02,0,53,53
2015-04-03,0,46,46
2015-04-04,0,40,40
2015-04-05,0,39,39
2015-04-06,0,47,47
2015-04-07,0,50,50
2015-04-08,0,49,49
2015-04-09,0,55,55
2015-04-10,1,54,55
2015-04-11,0,46,46
2015-04-12,0,39,39
2015-04-13,0,41,41
2015-04-14,1,53,54
2015-04-15,1,51,52
2015-04-16,1,55,56
2015-04-17,0,50,50
2015-04-18,0,46,46
2015-04-19,0,43,43
2015-04-20,0,45,45
2015-04-21,0,40,40
2015-04-22,0,48,48
2015-04-23,0,50,50
2015-04-24,0,51,51
2015-04-25,0,42,42
2015-04-26,0,44,44
2015-04-27,0,49,49
2015-04-28,0,49,49
2015-04-29,0,45,45
2015-04-30,0,47,47
2015-05-01,0,40,40
2015-05-02,0,40,40
2015-05-03,0,38,38
2015-05-04,0,41,41
2015-05-05,0,40,40
2015-05-06,0,49,49
2015-05-07,0,52,52
2015-05-08,0,50,50
2015-05-09,0,45,45
2015-05-10,0,40,40
2015-05-11,0,44,44
2015-05-12,0,43,43
2015-05-13,0,43,43
2015-05-14,0,43,43
2015-05-15,1,47,48
2015-05-16,1,45,46
2015-05-17,0,45,45
2015-05-18,0,47,47
2015-05-19,0,47,47
2015-05-20,0,46,46
2015-05-21,0,45,45
