Name,Base Score,Base Severity,CVSS Vector,Exploitability Score,Impact Score,Source,Vendor,Link
CVE-2023-49897,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,FXC,https://www.cvedetails.com/cve/CVE-2023-49897
CVE-2023-49103,10.0,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:H,3.9,6.0,cve@mitre.org,Owncloud,https://www.cvedetails.com/cve/CVE-2023-49103
CVE-2023-47565,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Qnap,https://www.cvedetails.com/cve/CVE-2023-47565
CVE-2023-47246,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Sysaid,https://www.cvedetails.com/cve/CVE-2023-47246
CVE-2023-46748,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2.8,5.9,f5sirt@f5.com,F5,https://www.cvedetails.com/cve/CVE-2023-46748
CVE-2023-46747,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,f5sirt@f5.com,F5,https://www.cvedetails.com/cve/CVE-2023-46747
CVE-2023-46604,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Apache,https://www.cvedetails.com/cve/CVE-2023-46604
CVE-2023-44487,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.9,3.6,nvd@nist.gov,Debian,https://www.cvedetails.com/cve/CVE-2023-44487
CVE-2023-42917,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-42917
CVE-2023-42916,6.5,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:N/A:N,2.8,3.6,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-42916
CVE-2023-42824,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.8,5.9,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-42824
CVE-2023-42793,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Jetbrains,https://www.cvedetails.com/cve/CVE-2023-42793
CVE-2023-41993,9.8,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,3.9,5.9,nvd@nist.gov,Debian,https://www.cvedetails.com/cve/CVE-2023-41993
CVE-2023-41992,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,1.8,5.9,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-41992
CVE-2023-41991,5.5,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,1.8,3.6,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-41991
CVE-2023-41763,5.3,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,3.9,1.4,secure@microsoft.com,Microsoft,https://www.cvedetails.com/cve/CVE-2023-41763
CVE-2023-41266,8.2,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:L/A:N,3.9,4.2,cve@mitre.org,Qlik,https://www.cvedetails.com/cve/CVE-2023-41266
CVE-2023-41265,9.6,CRITICAL,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:H/A:N,3.1,5.8,cve@mitre.org,Qlik,https://www.cvedetails.com/cve/CVE-2023-41265
CVE-2023-41179,7.2,HIGH,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,1.2,5.9,nvd@nist.gov,Trendmicro,https://www.cvedetails.com/cve/CVE-2023-41179
CVE-2023-41064,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,1.8,5.9,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-41064
CVE-2023-41061,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,1.8,5.9,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-41061
CVE-2023-40044,8.8,HIGH,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,2.8,5.9,nvd@nist.gov,Progress,https://www.cvedetails.com/cve/CVE-2023-40044
CVE-2023-38831,7.8,HIGH,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,1.8,5.9,nvd@nist.gov,Rarlab,https://www.cvedetails.com/cve/CVE-2023-38831
CVE-2023-38606,5.5,MEDIUM,CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:N/I:H/A:N,1.8,3.6,nvd@nist.gov,Apple,https://www.cvedetails.com/cve/CVE-2023-38606
CVE-2023-38205,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,3.9,3.6,psirt@adobe.com,Adobe,https://www.cvedetails.com/cve/CVE-2023-38205
CVE-2023-38180,7.5,HIGH,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,3.9,3.6,secure@microsoft.com,Microsoft,https://www.cvedetails.com/cve/CVE-2023-38180
CVE-2023-38035,None,None,None,None,None,None,None,https://www.cvedetails.com/cve/CVE-2023-38035
CVE-2023-37580,6.1,MEDIUM,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:C/C:L/I:L/A:N,2.8,2.7,nvd@nist.gov,Zimbra,https://www.cvedetails.com/cve/CVE-2023-37580
